type,startTime,sportTime(s),maxPace(/meter),minPace(/meter),distance(m),avgPace(/meter),calories(kcal)
6,2022-05-18 13:11:58+0000,501,9.945727,0.6967209,89,5.617,101
16,2022-05-17 14:33:25+0000,812,0,1.8000001,0,0,91
8,2022-05-17 13:10:41+0000,2330,7.8146276,0.26748645,2212,1.053,325
10,2022-05-10 13:23:06+0000,926,0,1.8000001,0,0,97
8,2022-05-10 13:10:14+0000,534,1.5930837,0.27086836,1586,0.336,117
8,2022-01-18 03:27:09+0000,495,1.2431978,0.29341504,1402,0.352,97
6,2022-01-05 16:32:17+0000,4209,9.647421,0.17794964,2685,1.567,490
6,2021-12-05 12:20:12+0000,3782,4.126505,0.2777778,712,5.305,142
6,2021-11-30 20:07:17+0000,11274,9.70715,0.103213735,5370,2.099,844
